N,D,E,Noise,mse
110,261,0.6,0.0,2.248184872198266
110,261,0.6,0.1,2.329583390545245
110,261,0.6,0.2,0.4400590938150355
110,261,0.7,0.0,2.248184872198266
110,261,0.7,0.1,2.1499538671278096
110,261,0.7,0.2,0.2693713650429696
110,261,0.8,0.0,2.248184872198266
110,261,0.8,0.1,2.25978814480202
110,261,0.8,0.2,0.2032202649729821
110,261,0.9,0.0,2.1850389431022936
110,261,0.9,0.1,1.5932443328953756
110,261,0.9,0.2,0.2651640616227553
111,260,0.5,0.0,5.236048064805963
111,260,0.5,0.1,2.2866511753615946
111,260,0.5,0.2,0.2862594638959965
111,260,0.6,0.0,5.311487577112003
111,260,0.6,0.1,1.9616802672150424
111,260,0.6,0.2,0.3343534954212384
111,260,0.7,0.0,5.2864211909330585
111,260,0.7,0.1,3.1499948768959367
111,260,0.7,0.2,0.4631335199388857
111,260,0.8,0.0,5.195194460722422
111,260,0.8,0.1,3.247984033376186
111,260,0.8,0.2,0.222678448088395
111,260,0.9,0.0,5.519234134335397
111,260,0.9,0.1,2.147533295861898
111,260,0.9,0.2,0.2317497031035138
111,261,0.5,0.0,5.662593168958197
111,261,0.5,0.1,1.9347992499020368
111,261,0.5,0.2,0.5204457777920606
111,261,0.6,0.0,5.7195714661043375
111,261,0.6,0.1,2.120729032098083
111,261,0.6,0.2,0.2804669407114382
111,261,0.7,0.0,5.7195714661043375
111,261,0.7,0.1,1.777250424706729
111,261,0.7,0.2,0.3404603949741762
111,261,0.8,0.0,4.735492751325595
111,261,0.8,0.1,2.137631000800802
111,261,0.8,0.2,0.2456905929633386
111,261,0.9,0.0,5.768119824929184
111,261,0.9,0.1,2.2768059316329428
111,261,0.9,0.2,0.439893304819428
80,210,0.5,0.0,1.7324736878766789
80,210,0.5,0.1,1.894538065705552
80,210,0.5,0.2,0.1758720570863747
80,210,0.6,0.0,1.7324736878766789
80,210,0.6,0.1,1.9015478222424544
80,210,0.6,0.2,0.4327618933118771
80,210,0.7,0.0,1.7324736878766789
80,210,0.7,0.1,1.362417188161464
80,210,0.7,0.2,0.2225602380176177
80,210,0.8,0.0,1.707753549988034
80,210,0.8,0.1,1.3795898983700052
80,210,0.8,0.2,0.2584910326859528
80,210,0.9,0.0,1.7592990307071918
